,movieID,num_ratings
4645,5317,232945
2665,15124,216597
479,14313,200833
6646,15205,196398
439,1905,193942
6384,6287,193296
904,11283,181509
2640,16377,181427
5806,16242,178069
3089,12470,177557
378,15582,176540
493,9340,173597
4309,6972,171992
3267,12317,164793
7049,2152,162598
442,3860,160455
4147,15107,160327
5352,6037,158602
4302,4432,156184
1746,571,154833
1771,14538,154641
2945,14367,154349
1702,3938,153997
5851,12232,152407
1036,7624,152086
7248,11064,152079
2737,4996,151848
1564,4306,151293
1155,7234,151032
6628,13728,150593
4195,6386,148147
4414,12911,147662
332,13050,147314
5759,8782,147252
1278,13081,147237
7,17169,145541
3484,1962,145520
2559,16954,144321
2512,6206,143698
6168,12582,143683
1649,16879,143669
5884,7617,141443
6534,8644,141074
7298,14691,140764
6264,14454,140565
2670,1145,140155
2418,3624,139429
7563,11677,139159
5069,16384,138194
1751,2372,137171
867,17355,136920
2063,3427,136851
7402,12155,136462
6864,2782,135602
2481,12918,135450
7183,3106,135432
1038,13651,135014
3821,1220,134242
1189,10947,133458
1632,9756,132359
7389,6134,132238
3394,14410,132143
914,17157,131176
7674,4656,130783
4190,2862,128447
2286,5862,127319
4786,6971,126817
4492,11149,125879
6972,6692,125480
4126,17088,124159
7363,5401,122796
6758,4640,122159
6289,4123,121770
1752,12161,121762
5700,5926,121670
6125,1307,121208
7239,8904,120698
6869,16668,119813
3008,14149,119654
6713,13462,118885
5469,8387,118881
5934,30,118414
4093,10042,118213
346,16882,117315
661,3282,117271
274,11337,116768
3895,457,116763
251,6844,116717
2968,3151,116363
1357,14103,115991
6143,10550,115586
2082,1542,114998
4079,4745,114328
522,15755,114044
16,14312,113839
3915,13359,113718
4481,1428,113675
4896,1798,113378
3782,5085,113085
6248,10168,111947
1260,11443,111412
2656,14574,110439
2048,17308,110364
265,1865,110160
1037,10358,109918
3825,17324,109611
3660,1180,108772
2875,886,108607
191,9960,108529
6342,12966,108355
5282,6974,108344
5706,2913,107444
6660,11077,107346
1375,10359,107112
6494,11314,107095
583,7635,107084
4272,12293,106328
3595,4577,106292
1856,16139,106286
38,17627,106239
790,15393,106212
4431,4356,106021
2781,11182,105862
4028,2122,105698
6172,16082,105519
7103,14644,105046
2846,12299,104801
4903,3825,104633
1308,758,104363
7553,17560,104032
2867,5054,103653
3304,11781,103432
2360,11022,103106
3727,11812,102862
3162,4951,102755
5795,15062,102577
2375,16765,102032
100,11040,101780
6037,6859,101501
7416,2391,101189
4620,12870,101142
573,4472,101119
5295,12732,100557
7272,9617,100341
7160,6042,100299
1881,607,100249
363,6475,100113
4081,10730,99911
2456,313,99813
4550,15887,99687
4694,13763,99461
7639,12785,99305
6649,15563,99010
888,14660,98766
6638,191,98721
6008,1110,98701
7541,1470,98697
1322,7745,98117
5839,15788,98003
745,3917,97940
5575,4972,97492
4232,14999,97166
3048,5939,97113
5078,6196,96779
668,5181,96603
3946,6797,95473
7503,14928,95336
4594,15844,95096
2125,12338,94042
3188,7281,93392
3222,3756,93242
339,16128,93203
7126,10378,92556
1636,15394,92295
2016,8764,91370
7330,12343,90676
6473,4043,90592
465,17154,90473
1895,175,90451
5712,4345,90388
4281,13614,90321
1941,10170,90246
4400,483,90011
811,985,90000
729,11490,89912
5448,9728,89893
6073,2342,89866
5475,8393,89800
6566,16452,89785
1540,3333,89715
3855,5293,89349
1149,5345,89081
6800,13102,88734
133,7193,88688
67,6931,88311
6895,14725,88184
5367,14382,88121
2021,7331,87940
6926,13923,87659
3581,2112,87623
4005,2095,87390
141,2612,87140
7313,8327,87057
5074,6829,86620
3233,15646,85717
4360,10123,85670
1614,4266,85051
6279,17149,84795
2419,14358,84652
899,6099,84591
4542,2874,83850
3905,3638,83681
4322,13402,83565
1148,15156,83438
1050,6274,83250
4133,8181,82907
4848,8743,82850
83,16707,82445
5557,14590,82375
6136,12435,81931
6906,16640,81882
558,10375,81597
1607,15425,81317
1810,798,81279
7571,197,81261
285,7233,81220
7671,12034,81128
1187,10774,81101
434,10820,80942
1274,5807,80837
1158,16339,80350
6104,6497,80346
5374,15922,80208
6793,2580,80137
2374,9645,79919
3789,13195,79890
2724,1144,79846
2725,16438,79742
1312,6329,79631
4068,12494,79558
6878,5614,79326
6391,9188,79063
940,2200,78981
2904,13391,78945
5261,1202,78879
3270,9051,78796
4066,4590,78720
3698,5318,78585
3916,12047,78305
2371,3368,78214
6301,6720,77598
7217,357,77315
4020,6350,77022
2696,299,76945
3625,7240,76706
6260,5571,76699
1043,14670,76602
5833,14482,76476
5443,5112,75825
4159,5472,75802
4427,10451,75243
3934,3610,75149
4931,9111,74780
184,5814,74467
5435,1406,74077
2751,7509,73853
869,3320,73796
5125,7511,73646
2983,12074,73354
6934,1102,73338
2503,17479,73267
6317,7364,73030
3881,1744,73005
2178,9254,72885
3351,17441,72544
4208,708,72382
1893,6510,72380
856,16922,71952
4708,9049,71640
5553,10906,71556
5717,17339,70960
3700,14215,70713
6148,14050,70468
4604,10928,70453
4867,15048,70371
3565,11152,70342
4528,14780,70270
7625,14109,70177
1791,14909,69666
4841,6030,69250
5635,7937,69057
4941,5924,68819
1000,7397,68616
4832,17129,68420
5690,15472,67968
4829,15058,67861
2793,7904,67796
1181,12605,67312
7141,16286,67178
4653,16343,66578
4437,9882,66396
3425,329,66267
278,15151,65949
5620,15116,65885
5972,2800,65701
3102,5695,65631
2944,312,65478
2001,1754,65364
6896,5628,65318
1468,5226,65186
6533,17764,64958
483,10607,64918
1557,14667,64743
1414,11279,64591
2607,6428,64556
5440,11173,64282
490,9426,64176
1861,14869,64162
7302,9818,64066
5067,16390,63732
329,5154,63667
6888,10225,63220
6841,4330,63043
810,7032,62964
5085,11398,62907
816,3254,62629
6634,9189,62605
1204,8846,62548
1718,3905,62458
6240,7399,62297
3671,8832,61759
4416,6555,61696
2688,13582,61695
7074,13705,61576
6722,10625,61448
2163,6615,61275
4236,13748,61250
7491,2186,61175
7622,5762,61094
3997,16792,61088
4482,6347,61060
2228,13580,61040
4764,1561,61020
7687,13302,60890
641,13052,60862
7604,2743,60788
5407,16740,60613
1319,9768,60545
6134,3538,60472
6034,10785,60426
2227,6833,59969
6321,1073,59519
1467,17622,59297
4119,1615,59138
6424,17215,59079
3161,13593,59048
1404,10832,58838
499,4670,58625
7155,15758,58577
1534,7155,58568
6181,17405,58564
772,4705,58537
201,788,58528
978,1719,58365
2868,13636,58273
2088,3433,58150
4293,12244,58060
1437,6739,57942
62,4698,57767
5193,11165,57446
3103,14940,57429
125,9800,57376
233,8840,57034
2677,1810,56919
4268,16793,56894
4796,482,56505
602,5787,56452
887,4315,56214
5964,6482,56161
7104,5991,56148
7297,5788,56103
115,9828,56005
1820,6464,55965
2998,1975,55741
7058,12355,55611
410,4302,55606
3999,14185,55445
1346,17387,55444
2435,6760,55429
7041,16872,55323
35,4883,54975
1516,3864,54923
7542,11663,54846
2330,12305,54795
2649,2470,54618
7125,5775,54445
2771,2465,54194
5486,11198,54145
180,7971,54125
3835,17330,53938
2853,16969,53893
715,9591,53800
2483,8954,53787
1808,13082,53760
102,17431,53366
1349,14856,53164
7167,5239,53164
7202,13471,52958
150,5169,52940
616,5793,52849
4990,4227,52389
3322,14606,52176
2110,16604,52161
1992,11209,52126
6563,4056,52026
1613,2617,51949
4812,15702,51916
2812,8376,51872
5065,12690,51737
3679,3782,51623
807,11888,51612
2107,10275,51484
981,4661,51393
4782,15919,51345
7245,13673,51307
3863,9442,51263
6946,14527,51229
3445,6994,51092
1523,7627,51049
5513,6631,50983
5715,6552,50976
394,15233,50871
2393,13392,50851
3197,8159,50666
2567,6366,50639
6536,11315,50412
2618,2699,50354
2682,10921,50322
6627,14047,50245
6714,2209,50203
6000,3713,49970
1403,4847,49637
3941,12090,49566
1215,7590,49457
2870,13622,49420
7439,6860,49117
1179,14274,49039
5918,16901,49010
6026,15818,48941
366,4262,48878
3120,9939,48776
1427,406,48618
2450,16565,48578
2896,12500,48420
2412,7330,48261
6246,1703,48191
6787,4683,48150
874,14890,48113
6975,1843,48005
5019,10078,47905
1066,2953,47812
5658,8379,47640
4583,15105,47602
2855,9685,47505
3897,331,47168
3313,17482,47153
2281,14953,47081
3092,17508,47079
6047,13298,47078
4739,16948,47056
642,15345,47049
6807,3463,46979
3206,16415,46698
3220,5327,46674
5114,14545,46585
344,6449,46534
5151,12493,46510
4109,14218,46240
2827,4216,46151
7432,14280,45964
4868,13439,45884
2744,7521,45844
3111,7928,45683
4845,4141,45637
680,7219,45457
5327,13412,45167
2601,2128,45070
6696,15952,45040
5495,7513,44942
6685,17189,44917
7123,10436,44886
4661,16357,44881
6060,5363,44762
6208,13887,44483
5744,14618,44435
4352,12052,44385
1907,2992,44296
7374,16469,44240
5361,6989,44184
5490,14209,44179
4843,16223,44172
3824,658,44002
2005,8016,43980
172,8317,43749
270,11323,43745
356,15409,43711
4364,5538,43631
1769,17031,43472
5821,17174,43455
1660,13524,43428
2516,3418,43422
1583,7828,43355
7326,6450,43326
5599,241,43123
2032,15084,43112
1891,16703,43105
3652,17709,42943
3534,1590,42934
6974,14296,42886
1303,7779,42876
6046,2395,42844
2501,12501,42744
7213,3138,42728
806,8467,42634
432,3684,42541
4625,16380,42496
4210,7067,42458
1287,7786,42308
